serial_number,name,year,act_number,section,page_number,source
431,Inter-S tate Migrant Workmen (Regulation of Employment and Conditions of Service) Act,1979,30,,10,table
432,Inter-S tate River Water Disputes Act,1956,33,,10,table
433,Jallian wala Bagh National Memorial Act,1951,25,J,10,table
434,Jamia Millia Islamia Act,1988,58,,10,table
435,Jamm u and Kashmir (Extension of Laws) Act,1956,62,,10,table
436,Jamm u and Kashmir Official Languages Act,2020,23,,10,table
437,Jamm u and Kashmir Reorganisation Act,2019,34,,10,table
438,Jamm u and Kashmir Representation of the People Supplementary) Act,1968,3,,10,table
439,"Jawah arlal Institute of Post-Graduate Medical Education and Research, Pondicherry Act",2008,19,,10,table
440,Jawah arlal Nehru University Act,1966,53,,10,table
441,Judges (Inquiry) Act,1968,51,,10,table
442,Judges (Protection) Act,1985,59,,10,table
443,Jute C ompanies (Nationalisation) Act,1980,62,,10,table
444,Jute Pa ckaging Materials (Compulsory Use in Packing Commodities) Act,1987,10,,10,table
445,Juveni le Justice (Care and Protection of Children) Act,2016,2,,10,table
446,Kala k shetra Foundation Act,1994,6,K,10,table
447,Kazis Act,1880,12,,10,table
448,Khaddar (Protection of Name) Act,1950,78,,10,table
449,Khadi and Village Industries Commission Act,1956,61,,10,table
450,Khuda Bakhsh Oriental Public Library Act,1969,43,,10,table
451,King o f Oudh's Estate Act,1887,19,,10,table
453,King o f Oudh's Estate Validation Act,1917,12,,10,table
454,Labou r Laws (Exemption from Furnishing Returns and Maintaining Registers by Certain Establishments) Act,1988,51,L,10,table
455,Lady H ardinge Medical College and Hospital (Acquisition and Miscellaneous Provisions) Act,1977,34,,10,table
456,Lalitk ala Akademi (Taking Over of Management) Act,1997,17,,10,table
457,Land A cquisition (Amendment and Validation) Act,1967,13,,10,table
458,Land I mprovement Loans Act,1883,19,,10,table
459,Land P ort Authority of India Act,2010,31,,10,table
460,Laws Local Extent Act,1874,15,,10,table
461,Leade rs of Chief Whips of Recognised Parties and Groups in Parliament (Facilities) Act,1999,5,,10,table
462,Legal Metrology Act,2010,1,,10,table
463,Legal Practitioners Act,1879,18,,10,table
464,Legal Representatives' Suits Act,1855,12,,10,table
465,Legal Services Authorities Act,1987,39,,10,table
466,Legal Tender (Inscribed Notes) Act,1964,28,,10,table
467,Legisl ative Assembly of Nagal and (Change in Representation) Act,1968,61,,10,table
468,Levy S ugar Price Equalisation Fund Act,1976,31,,10,table
469,Life In surance Corporation Act,1956,31,,10,table
470,Life In surance Corporation (Modification of Settlement) Act,1976,72,,10,table
425,"Intern ational Development Association (Status, Immunities and",1960,32,,10,text
426,"Intern ational Finance Corporation (Status, Immunities and Privileges)",1958,42,,10,text
431,Inter-S tate Migrant Workmen (Regulation of Employment and Conditions of Service) Act,1979,30,,10,text
439,"Jawah arlal Institute of Post-Graduate Medical Education and Research,",2008,19,,10,text
454,Labou r Laws (Exemption from Furnishing Returns and Maintaining,1988,51,,10,text
455,Lady H ardinge Medical College and Hospital (Acquisition and,1977,34,,10,text
461,Leade rs of Chief Whips of Recognised Parties and Groups in,1999,5,,10,text
473,Live-s tock Importation Act,1898,9,,11,table
474,Local Authorities Loans Act,1914,9,,11,table
475,Lokpa l and Lokaayuktas Act,2014,1,,11,table
476,Lok S ahayak Sena Act,1956,53,,11,table
477,Lotter ies (Regulation) Act,1998,17,,11,table
478,Lusha i Hills District (Change of Name) Act,1954,18,,11,table
479,Madh ya Pradesh Reorganisation Act,2000,28,M,11,table
480,Media tion Act,2023,32,,11,table
481,"Madra s, Bengal and Bombay Children (Supplementary) Act",1925,35,,11,table
482,Madra s City Civil Court Act,1892,7,,11,table
483,Madra s City Land Revenue Act,1851,12,,11,table
484,Madra s Civil Courts Act,1873,03,,11,table
485,Madra s District Police Act,1859,24,,11,table
486,Madra s Rent and Revenue Sales Act,1839,7,,11,table
487,Madra s Revenue Commissioner Act,1849,10,,11,table
488,Mahat ma Gandhi Antarashtriya Hindi Vishwavidyalaya Act,1997,3,,11,table
489,Mahat ma Gandhi National Rural Employment Guarantee Act,2005,42,,11,table
490,Maint enance and Welfare of Parents and Senior Citizens Act,2007,56,,11,table
491,Maint enance Orders Enforcement Act,1921,18,,11,table
492,Major ity Act,1875,09,,11,table
493,Major Port Authorities Act,2021,1,,11,table
494,Mangr ol and Manavadar (Administration of Property) Act,1949,2,,11,table
495,Manip ur (Courts)Act,1955,56,,11,table
496,Manip ur (Hill Areas District Council) Act,1971,76,,11,table
497,Manip ur Land Revenue and Land Reforms Act,1960,33,,11,table
498,Manip ur Municipalities Act,1994,43,,11,table
499,Manip ur Panchayati Raj Act,1994,26,,11,table
500,Manip ur (Sales of Motor Spirit and Lubricants) Taxation Act,1962,55,,11,table
501,Manip ur University Act,2005,54,,11,table
502,Manip ur (Village Authorities in Hill Areas) Act,1956,80,,11,table
503,"Manoe uvres, Field Firing and Artillery Practice Act",1938,05,,11,table
504,Marin e Aids to Navigation Act,2021,20,,11,table
505,Marin e Insurance Act,1963,11,,11,table
506,Marin e Products Export Development Authority Act,1972,13,,11,table
507,Maritim e Anti-Piracy Act,2022,3,,11,table
508,Maritim e Zones of India (Regulation of Fishing by Foreign Vessels) Act,1981,42,,11,table
509,Marki ng of Heavy Packages Act,1951,39,,11,table
510,Marrie d Women's Property Act,1874,3,,11,table
511,Mater nity Benefit Act,1961,53,,11,table
512,Maula na Azad National Urdu University Act,1997,2,,11,table
513,Medic al Termination of Pregnancy Act,1971,34,,11,table
514,Menta l Healthcare Act,2017,10,,11,table
515,Merch ant Shipping Act,1958,44,,11,table
516,Metro Railway (Operation and Maintenance) Act,2002,60,,11,table
517,Metro Railways (Construction of Works) Act,1978,33,,11,table
518,Micro Small and Medium Enterprises Development Act,2006,27,,11,table
519,Mines Act,1952,35,,11,table
520,Mines and Minerals (Regulation and Development) Act,1957,67,,11,table
521,Minim um Wages Act,1948,11,,11,table
522,Mizor am University Act,2000,8,,11,table
471,Limita tion Act,1963,36,,11,text
472,Limite d Liability Partnership Act,2009,6,,11,text
525,Motor Vehicles Act,1988,59,,12,table
526,Multim odal Transportation of Goods Act,1993,28,,12,table
527,Multi- State Co-operative Societies Act,2002,39,,12,table
528,Mursh idabad Estate Administration Act,1933,23,,12,table
529,Muslim Personal Law (Shariat) Application Act,1937,26,,12,table
530,Muslim Women (Protection of Rights on Marriage) Act,2019,20,,12,table
531,Muslim Women (Protection of Rights on Divorce) Act,1986,25,,12,table
532,Mussa lman Waqf (Repeal) Act,2025,15,,12,table
533,Naga H ills-Tuensang Area Act,1957,42,N,12,table
534,Nagal and University Act,1989,35,,12,table
535,Nalan da University Act,2010,39,,12,table
536,1Narco tic Drugs and Psychotropic Substances Act,1985,61,,12,table
537,Nation al Bank for Agriculture and Rural Development Act,1981,61,,12,table
538,Nation al Bank For Financing Infrastructure And Development Act,2021,17,,12,table
539,Nation al Cadet Corps Act,1948,31,,12,table
540,Nation al Capital Region Planning Board Act,1985,2,,12,table
541,Nation al Capital Territory of Delhi Laws (Special Provisions) Act,2007,43*,,12,table
544,Nation al Capital Territory of Delhi Laws (Special Provisions) Second Act,2009,40*,,12,table
546,Nation al Capital Territory of Delhi(Recognition of Property Rights of Residents in Unauthorised Colonies)Act,2019,45,,12,table
547,Nation al Commission For Allied And Health care Professions Act,2021,14,,12,table
548,Nation al Commission for Homoeopathy Act,2020,15,,12,table
549,Nation al Commission for Indian System of Medicine Act,2020,14,,12,table
550,Nation al Commission for Minorities Act,1992,19,,12,table
551,Nation al Commission for Minority Educational Institutions Act,2005,2,,12,table
552,Nation al Commission for Safai Karamcharis Act,1993,64,,12,table
553,Nation al Commission for Women Act,1990,20,,12,table
554,Nation al Commission for Backward Classes(Repeal) Act,2018,24,,12,table
555,Nation al Company (Acquisition and Transfer of Undertakings) Act,1980,42,,12,table
556,Nation al Co-operative Development Corporation Act,1962,26,,12,table
557,Nation al Council for Teacher Education Act,1993,73,,12,table
558,Nation al Dairy Development Board Act,1987,37,,12,table
559,Nation al Dental Commission Act,2023,21,,12,table
560,Nation al Food Security Act,2013,20,,12,table
561,Nation al Forensic Sciences University Act,2020,32,,12,table
562,Nation al Green Tribunal Act,2010,19,,12,table
563,Nation al Highways Act,1956,48,,12,table
564,Nation al Highways Authority of India Act,1988,68,,12,table
565,Nation al Housing Bank Act,1987,53,,12,table
566,Nation al Institute of Design Act,2014,18,,12,table
567,Nation al Institute of Fashion Technology Act,2006,28,,12,table
568,"Nation al Institute of Food Technology, Entrepreneurship and",2021,19,,12,table
523,Moors hedabad Act,1891,15,,12,text
524,Motor Transport Workers Act,1961,27,,12,text
546,Nation al Capital Territory of Delhi(Recognition of Property Rights of Residents in Unauthorised Colonies)Act,2019,45,,12,text
570,Nation al Institute of Pharmaceutical Education and Research Act,1998,13,,13,table
571,Nation al Institute of Technology Act,2007,29,,13,table
572,Nation al Investigation Agency Act,2008,34,,13,table
573,1Nation al Judicial Appointments Commission Act,2014,40,,13,table
574,Nation al Jute Board Act,2009,12,,13,table
575,Nation al Medical Commission Act,2019,30,,13,table
576,Nation al Nursing and Midwifery Commission Act,2023,26,,13,table
577,Nation al Rural Employment Guarantee (Extension to Jammu and Kashmir) Act,2007,23,,13,table
578,Nation al Security Act,1980,65,,13,table
579,Nation al Security Guard Act,1986,47,,13,table
580,Nation al Service Act,1972,28,,13,table
581,Nation al Sports University Act,2018,25,,13,table
582,2Natio nal Tax Tribunal Act,2005,49,,13,table
583,"Nation al Trust for Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities Act",1999,44,,13,table
584,Nation al Water way Act,2016,17,,13,table
585,Naval and Aircraft Prize Act,1971,59,,13,table
586,Navy A ct,1957,62,,13,table
587,Negoti able Instruments Act,1881,26,,13,table
588,New D elhi Municipal Council Act,1994,44,,13,table
589,Newsp apers (Price Control) Act,1972,15,,13,table
590,North- Eastern Area (Reorganisation) Act,1971,81,,13,table
591,North- Eastern Council Act,1971,84,,13,table
592,North- Eastern Hill University Act,1973,24,,13,table
593,Northe rn India Canal and Drainage Act,1873,8,,13,table
594,Northe rn India Ferries Act,1878,17,,13,table
595,Notari es Act,1952,53,,13,table
596,North- Western Provinces and Oudh Act,1890,20,,13,table
597,Oaths Act,1969,44,O,13,table
598,Officia l Languages Act,1963,19,,13,table
599,Offici al Secrets Act,1923,19,,13,table
600,Offici al Trustees Act,1913,2,,13,table
601,Offsho re Areas Minerals (Development and Regulation) Act,2003,17,,13,table
602,Oil an d Natural Gas Commission (Transfer of Undertaking and Repeal) Act,1993,65,,13,table
603,Oil Fie lds (Regulation and Development) Act,1948,53,,13,table
604,OilI nd ustry (Development)Act,1974,47,,13,table
605,Orissa (Alteration of Name) Act,2011,15,,13,table
606,Orissa Weights and Measures (Delhi Repeal) Act,1958,57,,13,table
607,Orpha nages and Other Charitable Homes (Supervision and Control) Act,1960,10,,13,table
608,Oudh Estates Act,1869,1,,13,table
609,Oudh Laws Act,1876,18,,13,table
610,Oudh Taluqdars' Relief Act,1870,24,,13,table
611,Parliam ent (Prevention of Disqualification) Act,1959,10,P,13,table
569,"Nation al Institute of Mental Health and Neuro-Sciences, Bangalore Act",2012,38,,13,text
577,Nation al Rural Employment Guarantee (Extension to Jammu and,2007,23,,13,text
583,"Nation al Trust for Welfare of Persons with Autism, Cerebral Palsy,",1999,44,,13,text
602,Oil an d Natural Gas Commission (Transfer of Undertaking and Repeal),1993,65,,13,text
607,Orpha nages and Other Charitable Homes (Supervision and Control),1960,10,,13,text
614,Parsi M arriage and Divorce Act,1936,3,,14,table
615,Partiti on Act,1893,4,,14,table
616,Partiti on of Revenue-paying Estates Act,1863,19,,14,table
617,Passpo rt (Entry in to India) Act,1920,34,,14,table
618,Passpo rts Act,1967,15,,14,table
619,Patent s Act,1970,39,,14,table
620,Payme nt and Settlement Systems Act,2007,51,,14,table
621,Payme nt of Bonus Act,1965,21,,14,table
622,Payme nt of Gratuity Act,1972,39,,14,table
623,Payme nt of Wages Act,1936,4,,14,table
624,Pensio ns Act,1871,23,,14,table
625,Pensio ns Fund Regulatory and Development Authority Act,2013,23,,14,table
626,Petrol eum Act,1934,30,,14,table
627,Petrol eum and Minerals Pipelines (Acquisition of Right of User in Land) Act,1962,50,,14,table
628,Petrol eum and Natural Gas Regulatory Board Act,2006,19,,14,table
629,Pharm acy Act,1948,8,,14,table
630,Places of Worship (Special Provisions) Act,1991,42,,14,table
631,Planta tions Labour Act,1951,69,,14,table
632,Poison s Act,1919,12,,14,table
633,Police Act,1861,5,,14,table
635,"Police , (Agra)Act",1854,16,,14,table
636,Police Forces (Restriction of Rights) Act,1966,33,,14,table
637,Pondic herry (Administration)Act,1962,49,,14,table
638,Pondic herry (Extension of Laws) Act,1968,26,,14,table
639,Pondic herry University Act,1985,53,,14,table
640,Pondic herry (Alteration of Name) Act,2006,44,,14,table
641,Post-G raduate Institute of Medical Education and Research Chandigarh Act,1966,51,,14,table
642,Post O ffice Act,2023,43,,14,table
643,Post O ffice Cash Certificates Act,1917,18,,14,table
644,Power s-of-Attorney Act,1882,7,,14,table
645,Prasar Bharati (Broadcasting Corporation of India) Act,1990,25,,14,table
646,Prefer ence Shares (Regulation of Dividend) Act,1960,63,,14,table
647,Pre-co nception and Pre-Natal Diagnostic Techniques (Prohibition of Sex Selection) Act,1994,57,,14,table
648,Presid ency Small Cause Courts Act,1882,15,,14,table
649,Preside ncy Towns Insolvency Act,1909,3,,14,table
650,Presid ent (Discharge of Functions) Act,1969,16,,14,table
651,Presid ential and Vice-Presidential Elections Act,1952,31,,14,table
652,Presid ent's Emoluments and Pension Act,1951,30,,14,table
653,Press a nd Registration of Periodicals Act,2023,51,,14,table
654,Press C ouncil Act,1978,37,,14,table
655,Preven tion and Control of Infectious and Contagious diseases in Animals Act,2009,27,,14,table
656,Preven tion of Black marketing and Maintenance of Supplies of Essential Commodities Act,1980,7,,14,table
657,Preven tion of Corruption Act,1988,49,,14,table
658,Preven tion of Cruelty to Animals Act,1960,59,,14,table
612,Parliam entary Proceedings (Protection of Publication) Act,1977,15,,14,text
613,Parel I nvestments and Trading Private Limited and Domestic Gas,2005,14,,14,text
627,Petrol eum and Minerals Pipelines (Acquisition of Right of User in,1962,50,,14,text
641,Post-G raduate Institute of Medical Education and Research,1966,51,,14,text
647,Pre-co nception and Pre-Natal Diagnostic Techniques (Prohibition of,1994,57,,14,text
655,Preven tion and Control of Infectious and Contagious diseases in,2009,27,,14,text
656,Preven tion of Black marketing and Maintenance of Supplies of,1980,7,,14,text
661,Preven tion of Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act,1988,46,,15,table
662,Preven tion of Insults to National Honour Act,1971,69,,15,table
663,Preven tion of Terrorism (Repeal)Act,2004,26,,15,table
664,Prison ers Act,1900,3,,15,table
665,Prison ers (Attendance in Courts) Act,1955,32,,15,table
666,Prison s Act,1894,9,,15,table
667,Privat e Security Agencies (Regulation)Act,2005,29,,15,table
668,Prize C hits and Money Circulation Scheme (Banning) Act,1978,43,,15,table
669,Prize C ompetitions Act,1955,42,,15,table
670,Probat ion of Offenders Act,1958,20,,15,table
671,Prohib ition of Benami Property Transactions Act,1988,45,,15,table
672,"Prohib ition of Electronic Cigarettes (Production, Manufacture, Import, Export, Transport, Sale Distribution, Storage and Advertisement) Act",2019,42,,15,table
673,Prohib ition of Child Marriage Act,2007,6,,15,table
674,Prohib ition of Employment as Manual Scavengers and their Rehabilitation Act,2013,25,,15,table
675,Protec tion of Civil Rights Act,1955,22,,15,table
676,Protec tion of Children from Sexual Offences Act,2012,32,,15,table
677,Protec tion of Human Rights Act,1994,10,,15,table
678,Protec tion of Interests In Aircraft Objects Act,2025,17,,15,table
679,Protec tion of Plant Varieties and Farmers’ Right Act,2001,53,,15,table
680,Protec tion of Women from Domestic Violence Act,2005,43,,15,table
681,Provid ent Funds Act,1925,19,,15,table
682,Provin cial Small Cause Courts Act,1887,09,,15,table
683,Provis ional Collection of Taxes Act,2023,50,,15,table
684,Provin cial Insolvency Act,1920,5,,15,table
685,Provis ions of the Panchayats (Extension to the Scheduled Areas) Act,1996,40,,15,table
686,Public Debt Act,1944,18,,15,table
687,Public Employment (Requirement as to Residence) Act,1957,44,,15,table
688,Public Examination (Prevention of Unfair Means) Act,2024,1,,15,table
689,Public Financial Institutions (Obligation as to Fidelity and Secrecy) Act,1983,48,,15,table
690,Public Gambling Act,1867,3,,15,table
691,Public Liability Insurance Act,1991,6,,15,table
692,Public Premises (Eviction of Unauthorised Occupants) Act,1971,40,,15,table
693,Public Records Act,1993,69,,15,table
694,Public Sector Iron and Steel Companies (Restructuring) and Miscellaneous Provisions Act,1978,16,,15,table
695,Punjab District Boards Act,1883,20,,15,table
696,Punjab Disturbed Areas Act,1983,32,,15,table
697,Punjab Land revenue Act,1887,17,,15,table
698,Punjab Laws Act,1872,4,,15,table
699,Punjab Municipal Corporation Law (Extension to Chandigarh) Act,1994,45,,15,table
700,Punjab Reorganisation Act,1966,31,,15,table
701,Punjab Tenancy Act,1887,16,,15,table
702,Railwa y Claims Tribunal Act,1987,54,R,15,table
703,Railwa y Property (Unlawful Possession) Act,1966,29,,15,table
704,Railwa y Protection Force Act,1957,23,,15,table
705,Railwa ys Act,1989,24,,15,table
706,Railwa ys Employment of Members of the Armed Forces Act,1965,40,,15,table
707,Rajasth an and Madhya Pradesh (Transfer of Territories) Act,1959,47,,15,table
659,Preven tion of Damage to Public Property Act,1984,3,,15,text
660,Preven tion of Money Laundering Act,2003,15,,15,text
661,Preven tion of Illicit Traffic in Narcotic Drugs and Psychotropic,1988,46,,15,text
672,"Prohib ition of Electronic Cigarettes (Production, Manufacture, Import,",2019,42,,15,text
674,Prohib ition of Employment as Manual Scavengers and their,2013,25,,15,text
694,Public Sector Iron and Steel Companies (Restructuring) and,1978,16,,15,text
710,Rajiv G andhi National Aviation University Act,2013,26,,16,table
711,Rajiv G andhi National Institute of Youth Development Act,2012,35,,16,table
712,Rajiv G andhi University Act,2007,8,,16,table
713,Rampu r Raza Library Act,1975,22,,16,table
714,Rashtr iya Raksha University Act,2020,31,,16,table
715,Real E state (Regulation and Development) Act,2016,16,,16,table
716,Recipr ocity Act,1943,9,,16,table
717,Recov ery of Debts Due to Banks and Financial Institutions Act,1993,51,,16,table
718,Recycl ing of Ship Act,2019,49,,16,table
719,Region al Centre for Biotechnology Act,2016,36,,16,table
720,Region al Rural Banks Act,1976,21,,16,table
721,Regist ration Act,1908,16,,16,table
722,Regist ration of Births and Deaths Act,1969,18,,16,table
723,Regist ration of Foreigners Act,1939,16,,16,table
724,Rehab ilitation Council of India Act,1992,34,,16,table
725,Rehab ilitation Finance Administration Act,1948,12,,16,table
726,Religio us Endowments Act,1863,20,,16,table
727,Religio us Institutions (Prevention of Misuse) Act,1988,41,,16,table
728,Religio us Societies Act,1880,1,,16,table
729,Remitt ances of Foreign Exchange and Investment in Foreign Exchange Bonds (Immunities and Exemptions) Act,1991,41,,16,table
730,Rent R ecovery Act,1853,6,,16,table
731,Repatr iation of Prisoners Act,2003,49,,16,table
732,Repeal ing and Amending Act,2015,17,,16,table
733,Repeal ing and Amending (Second)Act,2015,19,,16,table
739,Repres entation of the People Act,1950,43,,16,table
741,Requis itioning and Acquisition of Immovable Property Act,1952,30,,16,table
742,Reserv e and Auxiliary Air Forces Act,1952,62,,16,table
743,Reserv e Bank (Transfer of Public Ownership) Act,1948,62,,16,table
744,Reserv e Bank of India Act,1934,2,,16,table
745,Reven ue Bombay,1842,13,,16,table
746,"Reven ue Commissioners, Bombay",1842,17,,16,table
747,Reven ue Recovery Act,1890,1,,16,table
748,Richar dson and Cruddas Limited (Acquisition and Transfer of Undertakings) Act,1972,78,,16,table
749,River Boards Act,1956,49,,16,table
750,Right of Children to Free and Compulsory Education Act,2009,35,,16,table
751,"Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act",2013,30,,16,table
752,Right to Information Act,2005,22,,16,table
753,Rights of Persons with Disabilities Act,2016,49,,16,table
754,Road T ransport Corporations Act,1950,64,,16,table
755,Rubbe r Act,1947,24,,16,table
756,SAARC Convention (Suppression of Terrorism) Act,1993,36,S,16,table
708,Rajgha t Samadhi Act,1951,41,,16,text
709,Rajiv G andhi Institute of Petroleum Technology Act,2007,54,,16,text
729,Remitt ances of Foreign Exchange and Investment in Foreign Exchange,1991,41,,16,text
748,Richar dson and Cruddas Limited (Acquisition and Transfer of,1972,78,,16,text
751,"Right to Fair Compensation and Transparency in Land Acquisition,",2013,30,,16,text
759,Salarie s and Allowances of Ministers Act,1952,58,,17,table
760,Salarie s and Allowances of Officers of Parliament Act,1953,20,,17,table
761,Salary and Allowances of Leaders of Opposition in Parliament Act,1977,33,,17,table
762,Sale o f Goods Act,1930,3,,17,table
763,Sales P romotion Employees (Conditions of Service) Act,1976,11,,17,table
764,Sarais Act,1867,22,,17,table
765,Sashas tra Seema Bal Act,2007,53,,17,table
766,Schedu led Areas (Assimilation of Laws) Act,1951,37,,17,table
768,Schedu led Tribes and Other Traditional Forest Dwellers (Recognition of Forests Rights) Act,2007,2,,17,table
769,Schedu led Castes and Scheduled Tribes (Prevention of Atrocities) Act,1989,33,,17,table
770,Schedu led Securities (Hyderabad) Act,1949,7,,17,table
771,Schoo l of Planning and Architecture Act,2014,37,,17,table
772,Seame n's Provident Fund Act,1966,4,,17,table
773,Seawa rd Artillery Practice Act,1949,8,,17,table
774,Securi ties and Exchange Board of India Act,1992,15,,17,table
775,Securi ties Contracts (Regulation) Act,1956,42,,17,table
776,Securi tisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act,2002,54,,17,table
777,Seeds Act,1966,54,,17,table
778,Semi c onductor Integrated Circuits Layout Design Act,2000,37,,17,table
779,"Sexual Harassment of Women at Work place (Prevention, Prohibition and Red ressal) Act",2013,14,,17,table
780,Shillon g (Rifle Range and Umlong) Cantonments Assimilation of Laws Act,1954,31,,17,table
781,Shore Nuisances (Bombay and Kolaba) Act,1853,11,,17,table
782,Sick In dustrial Companies (Special Provisions) Repeal Act,2004,1,,17,table
783,Sick T extile Undertakings (Nationalisation)Act,1974,57,,17,table
784,Sikh G urdwaras (Supplementary)Act,1925,24,,17,table
785,Sikkim University Act,2007,10,,17,table
786,Sir Din shaw Maneckjee Petit Act,1893,6,,17,table
787,Sir Jam setjee Jejeebhoy Baronetcy Act,1915,10,,17,table
788,Slum A reas (Improvement and Clearance) Act,1956,96,,17,table
789,Small Industries Development Bank of India Act,1989,39,,17,table
790,Smugg lers and Foreign Exchange Manipulators (Forfeiture of Property) Act,1976,13,,17,table
791,Societ ies Registration Act,1860,21,,17,table
792,South Asian University Act,2009,8,,17,table
793,Specia l Court (Trial of Offences Relating to Transactions in Securities) Act,1992,27,,17,table
794,Specia l Criminal Courts (Jurisdiction) Act,1950,18,,17,table
795,Specia l Economic Zones Act,2005,28,,17,table
796,Specia l Marriage Act,1954,43,,17,table
797,Specia l Protection Group Act,1988,34,,17,table
798,Specif ic Relief Act,1963,47,,17,table
799,Specif ied Bank Notes (Cessation of Liabilities) Act,2017,2,,17,table
800,Spices Board Act,1986,10,,17,table
801,Sports Broad casting Signals (Mandatory Sharing with Prasar Bharti) Act,2007,11,,17,table
802,"Sree C hitra Tirunal Institute for Medical Sciences and Technology, Trivandrum Act",1980,52,,17,table
757,Salar J ung Museum Act,1961,26,,17,text
758,"Salary , Allowances and Pension of Members of Parliament Act",1954,30,,17,text
768,Schedu led Tribes and Other Traditional Forest Dwellers (Recognition,2007,2,,17,text
776,Securi tisation and Reconstruction of Financial Assets and Enforcement,2002,54,,17,text
779,"Sexual Harassment of Women at Work place (Prevention, Prohibition",2013,14,,17,text
780,Shillon g (Rifle Range and Umlong) Cantonments Assimilation of,1954,31,,17,text
790,Smugg lers and Foreign Exchange Manipulators (Forfeiture of,1976,13,,17,text
793,Specia l Court (Trial of Offences Relating to Transactions in,1992,27,,17,text
802,"Sree C hitra Tirunal Institute for Medical Sciences and Technology,",1980,52,,17,text
805,State A ssociated Banks (Miscellaneous Provisions) Act,1962,56,,18,table
806,State B ank of India Act,1955,23,,18,table
807,State B ank of Sikkim (Acquisition of Shares) and Miscellaneous Provisions Act,1982,62,,18,table
808,State F inancial Corporations Act,1951,63,,18,table
809,State E mblems of India (Prohibition of Improper Use) Act,2005,50,,18,table
810,State o f Arunachal Pradesh Act,1986,69,,18,table
811,State o f Himachal Pradesh Act,1970,53,,18,table
812,State o f Mizoram Act,1986,34,,18,table
813,State o f Nagaland Act,1962,27,,18,table
814,States Reorganisation Act,1956,37,,18,table
815,Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act,2014,7,,18,table
816,Sugar Development Fund Act,1982,4,,18,table
817,Sugar Export Promotion Act,1958,30,,18,table
818,Suits V aluation Act,1887,7,,18,table
819,Suppr ession of Unlawful Acts against Safety of Civil Aviation Act,1982,66,,18,table
820,Suppr ession of Unlawful Acts against Safety of Maritime Navigation and Fixed Plat forms on Continental Shelf Act,2002,69,,18,table
821,Suprem e Court (Enlargement of Criminal Appellate Jurisdiction) Act,1970,28,,18,table
822,Suprem e Court Judges (Salaries and Conditions of Service) Act,1958,41,,18,table
823,Suprem e Court (Number of Judges) Act,1956,55,,18,table
824,Surrog acy (Regulation) Act,2021,47,,18,table
825,Swade shi Cotton Mills Company Limited (Acquisition and Transfer of Undertakings) Act,1986,30,,18,table
826,Tamil Nadu Legislative Council Act,2010,16,T,18,table
827,Taxati on Laws (Continuation and Validation of Recovery Proceedings) Act,1964,11,,18,table
828,Taxati on Laws (Extension to Jammu and Kashmir) Act,1972,25,,18,table
829,Tea A ct,1953,29,,18,table
830,Techn ology Development Board Act,1995,44,,18,table
831,Teleco m Regulatory Authority of India Act,1997,24,,18,table
832,Teleco mmunication Act,2023,44,,18,table
833,Territo rial Army Act,1948,56,,18,table
834,"Territo rial Waters, Continental Shelf, Exclusive Economic Zone and Other Maritime Zones Act",1976,80,,18,table
835,Terror ist Affected Areas (Special Courts) Act,1984,61,,18,table
836,Textile Undertakings (Nationalisation) Act,1995,39,,18,table
837,Textile s Committee Act,1963,41,,18,table
838,Tezpu r University Act,1993,45,,18,table
839,Tobac co Board Act,1975,4,,18,table
840,Tobac co Duty (Town of Bombay) Act,1857,4,,18,table
841,Tokyo Convention Act,1975,20,,18,table
842,Trade Marks Act,1999,47,,18,table
843,Trade Unions Act,1926,16,,18,table
844,Transf er of Prisoners Act,1950,29,,18,table
845,Transf er of Property Act,1882,4,,18,table
846,Transg ender Persons (Protection of Rights) Act,2019,40,,18,table
847,Transp lantation of Human Organs Act,1994,42,,18,table
848,‘‘Tribh uvan” Sahkari University Act,2025,11,,18,table
849,Tribun als Reforms Act,2021,33,,18,table
850,Tripur a Land Revenue and Land Reforms Act,1960,43,,18,table
803,Stage- Carriages Act,1861,16,,18,text
804,State A rmed Police Forces (Extension of Laws) Act,1952,63,,18,text
807,State B ank of Sikkim (Acquisition of Shares) and Miscellaneous,1982,62,,18,text
815,Street Vendors (Protection of Livelihood and Regulation of Street,2014,7,,18,text
820,Suppr ession of Unlawful Acts against Safety of Maritime Navigation,2002,69,,18,text
825,Swade shi Cotton Mills Company Limited (Acquisition and Transfer of,1986,30,,18,text
827,Taxati on Laws (Continuation and Validation of Recovery,1964,11,,18,text
834,"Territo rial Waters, Continental Shelf, Exclusive Economic Zone and",1976,80,,18,text
853,"Unifie d Waqf Management, Empowerment, Efficiency and Development Act",1995,43,U,19,table
854,Union Duties of Excise (Distribution)Act,1979,24,,19,table
855,Union Territories (Direct Election to the House of the People) Act,1965,49,,19,table
856,Union Territory Goods and Services Tax Act,2017,14,,19,table
857,Union Territories (Laws) Act,1950,30,,19,table
858,Union Territories (Separation of Judicial and Executive Functions) Act,1969,19,,19,table
